SAMPLE	GENE	CCF
aml_ohsu_2022_2088_BA2113	ALK	0.636363636363636
aml_ohsu_2022_2107_BA2839	APC	0.958333333333333
aml_ohsu_2022_2148_BA2595	ARID1B	0.444444444444444
aml_ohsu_2022_2020_BA2006	ASXL1	0.651162790697674
aml_ohsu_2022_2024_BA2606	ASXL1	0.651851851851852
aml_ohsu_2022_2026_BA2122	ASXL1	1
aml_ohsu_2022_2028_BA2144	ASXL1	0.285714285714286
aml_ohsu_2022_2035_BA2212	ASXL1	0.785714285714286
aml_ohsu_2022_2042_BA2073	ASXL1	0.280701754385965
aml_ohsu_2022_2066_BA2066	ASXL1	0.395604395604396
aml_ohsu_2022_2073_BA2510	ASXL1	0.975
aml_ohsu_2022_2080_BA2089	ASXL1	1
aml_ohsu_2022_2102_BA2498	ASXL1	0.760147601476015
aml_ohsu_2022_2139_BA2885	ASXL1	0.333333333333333
aml_ohsu_2022_2150_BA2620	ASXL1	0.839506172839506
aml_ohsu_2022_2023_BA2834	ATM	0.662337662337662
aml_ohsu_2022_2023_BA2834	BCOR	0.294871794871795
aml_ohsu_2022_2026_BA2122	BCOR	1
aml_ohsu_2022_2028_BA2144	BCOR	0.918032786885246
aml_ohsu_2022_2057_BA2659	BCOR	0.911764705882353
aml_ohsu_2022_2070_BA2592	BCOR	0.229508196721311
aml_ohsu_2022_2107_BA2839	BCOR	0.865168539325843
aml_ohsu_2022_2117_BA2999	BCOR	0.88235294117647
aml_ohsu_2022_2151_BA2423	BCOR	0.584415584415584
aml_ohsu_2022_2016_BA2816	BCORL1	0.444444444444444
aml_ohsu_2022_2028_BA2144	BCORL1	0.702127659574468
aml_ohsu_2022_2139_BA2885	BRAF	0.854014598540146
aml_ohsu_2022_2104_BA2657	CBL	1
aml_ohsu_2022_2138_BA2775	CBL	0.166666666666667
aml_ohsu_2022_2079_BA3029	CCND3	0.852941176470588
aml_ohsu_2022_2100_BA2705	CCND3	0.37037037037037
aml_ohsu_2022_2157_BA2452	CCND3	0.890756302521008
aml_ohsu_2022_2017_BA2156	CEBPA	0.796680497925311
aml_ohsu_2022_2030_BA2708	CEBPA	1
aml_ohsu_2022_2036_BA2731	CEBPA	0.705882352941177
aml_ohsu_2022_2044_BA2280	CEBPA	0.8
aml_ohsu_2022_2057_BA2659	CEBPA	0.793650793650794
aml_ohsu_2022_2095_BA2614	CEBPA	0.64
aml_ohsu_2022_2111_BA2972	CEBPA	0.740061162079511
aml_ohsu_2022_2116_BA2867	CEBPA	0.71578947368421
aml_ohsu_2022_2119_BA2718	CEBPA	0.866666666666667
aml_ohsu_2022_2135_BA2080	CEBPA	1
aml_ohsu_2022_2018_BA2950	CREBBP	0.75
aml_ohsu_2022_2048_BA3080	CREBBP	0.487534626038781
aml_ohsu_2022_2050_BA2354	CREBBP	0.2
aml_ohsu_2022_2016_BA2816	CSF3R	0.557377049180328
aml_ohsu_2022_2026_BA2122	CSF3R	1
aml_ohsu_2022_2016_BA2816	CTCF	0.45360824742268
aml_ohsu_2022_2109_BA2894	CTCF	0.594594594594595
aml_ohsu_2022_2000_BA2123	DNMT3A	0.956521739130435
aml_ohsu_2022_2007_BA2918	DNMT3A	1
aml_ohsu_2022_2022_BA2032	DNMT3A	0.952380952380952
aml_ohsu_2022_2028_BA2144	DNMT3A	0.516129032258065
aml_ohsu_2022_2029_BA2474	DNMT3A	0.772727272727273
aml_ohsu_2022_2041_BA2724	DNMT3A	0.8125
aml_ohsu_2022_2057_BA2659	DNMT3A	0.736842105263158
aml_ohsu_2022_2058_BA2054	DNMT3A	1
aml_ohsu_2022_2079_BA3029	DNMT3A	0.952380952380952
aml_ohsu_2022_2085_BA2855	DNMT3A	0.241379310344828
aml_ohsu_2022_2086_BA2971	DNMT3A	1
aml_ohsu_2022_2095_BA2614	DNMT3A	0.8
aml_ohsu_2022_2102_BA2498	DNMT3A	1
aml_ohsu_2022_2109_BA2894	DNMT3A	0.52
aml_ohsu_2022_2110_BA2986	DNMT3A	0.457142857142857
aml_ohsu_2022_2117_BA2999	DNMT3A	0.863636363636364
aml_ohsu_2022_2129_BA2163	DNMT3A	0.878787878787879
aml_ohsu_2022_2134_BA2524	DNMT3A	0.210526315789474
aml_ohsu_2022_2143_BA2406	DNMT3A	0.651162790697674
aml_ohsu_2022_2147_BA2181	DNMT3A	0.933333333333333
aml_ohsu_2022_2157_BA2452	DNMT3A	0.884353741496599
aml_ohsu_2022_2129_BA2163	EED	0.843137254901961
aml_ohsu_2022_2147_BA2181	ERBB4	0.816568047337278
aml_ohsu_2022_2047_BA2634	ETV6	0.804347826086957
aml_ohsu_2022_2140_BA2132	ETV6	0.891089108910891
aml_ohsu_2022_2003_BA2499	EZH2	1
aml_ohsu_2022_2016_BA2816	EZH2	0.258823529411765
aml_ohsu_2022_2019_BA2905	EZH2	1
aml_ohsu_2022_2036_BA2731	EZH2	0.476190476190476
aml_ohsu_2022_2050_BA2354	EZH2	0.336448598130841
aml_ohsu_2022_2104_BA2657	EZH2	1
aml_ohsu_2022_2043_BA2575	FOXP1	0.191304347826087
aml_ohsu_2022_2017_BA2156	GATA2	0.595744680851064
aml_ohsu_2022_2062_BA2078	GATA2	0.821917808219178
aml_ohsu_2022_2094_BA2728	GATA2	0.947368421052632
aml_ohsu_2022_2104_BA2657	GATA2	0.936936936936937
aml_ohsu_2022_2110_BA2986	GATA2	0.244897959183673
aml_ohsu_2022_2111_BA2972	GATA2	0.242990654205607
aml_ohsu_2022_2151_BA2423	GATA3	0.1875
aml_ohsu_2022_2124_BA2491	GNAS	0.224299065420561
aml_ohsu_2022_2134_BA2524	GRIN2A	0.888888888888889
aml_ohsu_2022_2048_BA3080	HIST1H1E	0.693877551020408
aml_ohsu_2022_2007_BA2918	IDH1	0.94488188976378
aml_ohsu_2022_2024_BA2606	IDH1	0.598130841121495
aml_ohsu_2022_2027_BA2936	IDH1	0.395061728395062
aml_ohsu_2022_2042_BA2073	IDH1	0.759493670886076
aml_ohsu_2022_2080_BA2089	IDH1	0.883720930232558
aml_ohsu_2022_2117_BA2999	IDH1	0.925925925925926
aml_ohsu_2022_2131_BA2590	IDH1	0.88235294117647
aml_ohsu_2022_2147_BA2181	IDH1	0.684931506849315
aml_ohsu_2022_2157_BA2452	IDH1	1
aml_ohsu_2022_2001_BA2702	IDH2	0.820809248554913
aml_ohsu_2022_2013_BA2195	IDH2	0.819512195121951
aml_ohsu_2022_2019_BA2905	IDH2	0.85972850678733
aml_ohsu_2022_2028_BA2144	IDH2	0.839160839160839
aml_ohsu_2022_2057_BA2659	IDH2	0.822134387351779
aml_ohsu_2022_2065_BA2020	IDH2	0.840579710144927
aml_ohsu_2022_2072_BA2642	IDH2	0.210526315789474
aml_ohsu_2022_2087_BA2858	IDH2	0.922155688622755
aml_ohsu_2022_2102_BA2498	IDH2	0.882882882882883
aml_ohsu_2022_2122_BA2024	IDH2	0.245210727969349
aml_ohsu_2022_2138_BA2775	IDH2	0.92485549132948
aml_ohsu_2022_2148_BA2595	IDH2	0.846774193548387
aml_ohsu_2022_2070_BA2592	IKZF1	0.476190476190476
aml_ohsu_2022_2012_BA2616	IRS2	0.266666666666667
aml_ohsu_2022_2049_BA2623	JAK2	0.885496183206107
aml_ohsu_2022_2059_BA2847	JAK2	0.782608695652174
aml_ohsu_2022_2086_BA2971	JAK2	1
aml_ohsu_2022_2124_BA2491	JAK2	1
aml_ohsu_2022_2019_BA2905	JAK3	0.494623655913978
aml_ohsu_2022_2088_BA2113	JAK3	0.421052631578947
aml_ohsu_2022_2095_BA2614	JAK3	0.971428571428571
aml_ohsu_2022_2037_BA2300	KIT	0.860335195530726
aml_ohsu_2022_2050_BA2354	KIT	0.343612334801762
aml_ohsu_2022_2129_BA2163	KMT2A	0.852631578947368
aml_ohsu_2022_2070_BA2592	KMT2D	0.222222222222222
aml_ohsu_2022_2126_BA2082	KMT2D	0.222222222222222
aml_ohsu_2022_2043_BA2575	KRAS	0.26
aml_ohsu_2022_2047_BA2634	KRAS	0.346456692913386
aml_ohsu_2022_2062_BA2078	KRAS	0.666666666666667
aml_ohsu_2022_2080_BA2089	KRAS	0.79144385026738
aml_ohsu_2022_2128_BA2148	KRAS	0.795180722891566
aml_ohsu_2022_2145_BA2821	KRAS	0.895161290322581
aml_ohsu_2022_2109_BA2894	MET	0.785185185185185
aml_ohsu_2022_2062_BA2078	MGA	0.219178082191781
aml_ohsu_2022_2013_BA2195	MPL	0.68
aml_ohsu_2022_2051_BA2380	MYC	0.177215189873418
aml_ohsu_2022_2135_BA2080	MYC	1
aml_ohsu_2022_2149_BA3023	NF1	0.709677419354839
aml_ohsu_2022_2036_BA2731	NFE2	0.936416184971098
aml_ohsu_2022_2007_BA2918	NRAS	0.26628895184136
aml_ohsu_2022_2012_BA2616	NRAS	0.422641509433962
aml_ohsu_2022_2028_BA2144	NRAS	0.217391304347826
aml_ohsu_2022_2032_BA2348	NRAS	0.780487804878049
aml_ohsu_2022_2041_BA2724	NRAS	0.789473684210526
aml_ohsu_2022_2043_BA2575	NRAS	0.170886075949367
aml_ohsu_2022_2049_BA2623	NRAS	0.185714285714286
aml_ohsu_2022_2060_BA2322	NRAS	0.588235294117647
aml_ohsu_2022_2066_BA2066	NRAS	0.4
aml_ohsu_2022_2083_BA2778	NRAS	0.927536231884058
aml_ohsu_2022_2094_BA2728	NRAS	0.840182648401826
aml_ohsu_2022_2123_BA2956	NRAS	0.459627329192547
aml_ohsu_2022_2134_BA2524	NRAS	0.4
aml_ohsu_2022_2142_BA2991	NRAS	0.99
aml_ohsu_2022_2151_BA2423	NRAS	0.582089552238806
aml_ohsu_2022_2047_BA2634	PDGFRB	0.594594594594595
aml_ohsu_2022_2012_BA2616	PDS5B	0.628930817610063
aml_ohsu_2022_2058_BA2054	PDS5B	0.192771084337349
aml_ohsu_2022_2013_BA2195	PHF6	0.176470588235294
aml_ohsu_2022_2106_BA2420	PHF6	0.119047619047619
aml_ohsu_2022_2082_BA2161	PIK3CA	0.297872340425532
aml_ohsu_2022_2023_BA2834	PTPN11	0.816
aml_ohsu_2022_2029_BA2474	PTPN11	0.857142857142857
aml_ohsu_2022_2047_BA2634	PTPN11	0.267206477732794
aml_ohsu_2022_2048_BA3080	PTPN11	0.740088105726872
aml_ohsu_2022_2065_BA2020	PTPN11	0.411764705882353
