PATIENT CELL GENE VALUE
MSK122 Cell_1 DNMT3A 0
MSK122 Cell_2 DNMT3A 1
MSK122 Cell_3 DNMT3A 1
MSK122 Cell_4 DNMT3A 1
MSK122 Cell_5 DNMT3A 1
MSK122 Cell_6 DNMT3A 1
MSK122 Cell_7 DNMT3A 1
MSK122 Cell_8 DNMT3A 1
MSK122 Cell_9 DNMT3A 1
MSK122 Cell_10 DNMT3A 0
MSK122 Cell_11 DNMT3A 0
MSK122 Cell_12 DNMT3A 1
MSK122 Cell_13 DNMT3A 1
MSK122 Cell_14 DNMT3A 0
MSK122 Cell_15 DNMT3A 0
MSK122 Cell_16 DNMT3A 0
MSK122 Cell_17 DNMT3A 1
MSK122 Cell_18 DNMT3A 1
MSK122 Cell_19 DNMT3A 1
MSK122 Cell_20 DNMT3A 0
MSK122 Cell_21 DNMT3A 1
MSK122 Cell_22 DNMT3A 1
MSK122 Cell_23 DNMT3A 1
MSK122 Cell_24 DNMT3A 1
MSK122 Cell_25 DNMT3A 0
MSK122 Cell_26 DNMT3A 1
MSK122 Cell_27 DNMT3A 1
MSK122 Cell_28 DNMT3A 0
MSK122 Cell_29 DNMT3A 0
MSK122 Cell_30 DNMT3A 1
MSK122 Cell_31 DNMT3A 1
MSK122 Cell_32 DNMT3A 1
MSK122 Cell_33 DNMT3A 1
MSK122 Cell_34 DNMT3A 1
MSK122 Cell_35 DNMT3A 1
MSK122 Cell_36 DNMT3A 1
MSK122 Cell_37 DNMT3A 0
MSK122 Cell_38 DNMT3A 1
MSK122 Cell_39 DNMT3A 1
MSK122 Cell_40 DNMT3A 1
MSK122 Cell_41 DNMT3A 1
MSK122 Cell_42 DNMT3A 1
MSK122 Cell_43 DNMT3A 1
MSK122 Cell_44 DNMT3A 0
MSK122 Cell_45 DNMT3A 1
MSK122 Cell_46 DNMT3A 0
MSK122 Cell_47 DNMT3A 1
MSK122 Cell_48 DNMT3A 1
MSK122 Cell_49 DNMT3A 1
MSK122 Cell_50 DNMT3A 0
MSK122 Cell_51 DNMT3A 1
MSK122 Cell_52 DNMT3A 1
MSK122 Cell_53 DNMT3A 1
MSK122 Cell_54 DNMT3A 0
MSK122 Cell_55 DNMT3A 1
MSK122 Cell_56 DNMT3A 1
MSK122 Cell_57 DNMT3A 1
MSK122 Cell_58 DNMT3A 1
MSK122 Cell_59 DNMT3A 1
MSK122 Cell_60 DNMT3A 1
MSK122 Cell_61 DNMT3A 1
MSK122 Cell_62 DNMT3A 1
MSK122 Cell_63 DNMT3A 1
MSK122 Cell_64 DNMT3A 1
MSK122 Cell_65 DNMT3A 1
MSK122 Cell_66 DNMT3A 1
MSK122 Cell_67 DNMT3A 1
MSK122 Cell_68 DNMT3A 0
MSK122 Cell_69 DNMT3A 1
MSK122 Cell_70 DNMT3A 0
MSK122 Cell_71 DNMT3A 1
MSK122 Cell_72 DNMT3A 1
MSK122 Cell_73 DNMT3A 1
MSK122 Cell_74 DNMT3A 1
MSK122 Cell_75 DNMT3A 1
MSK122 Cell_76 DNMT3A 1
MSK122 Cell_77 DNMT3A 1
MSK122 Cell_78 DNMT3A 0
MSK122 Cell_79 DNMT3A 1
MSK122 Cell_80 DNMT3A 1
MSK122 Cell_81 DNMT3A 1
MSK122 Cell_82 DNMT3A 0
MSK122 Cell_83 DNMT3A 0
MSK122 Cell_84 DNMT3A 0
MSK122 Cell_85 DNMT3A 1
MSK122 Cell_86 DNMT3A 0
MSK122 Cell_87 DNMT3A 1
MSK122 Cell_88 DNMT3A 1
MSK122 Cell_89 DNMT3A 0
MSK122 Cell_90 DNMT3A 1
MSK122 Cell_91 DNMT3A 0
MSK122 Cell_92 DNMT3A 1
MSK122 Cell_93 DNMT3A 1
MSK122 Cell_94 DNMT3A 1
MSK122 Cell_95 DNMT3A 0
MSK122 Cell_96 DNMT3A 1
MSK122 Cell_97 DNMT3A 1
MSK122 Cell_98 DNMT3A 1
MSK122 Cell_99 DNMT3A 1
MSK122 Cell_100 DNMT3A 1
MSK122 Cell_101 DNMT3A 1
MSK122 Cell_102 DNMT3A 0
MSK122 Cell_103 DNMT3A 1
MSK122 Cell_104 DNMT3A 0
MSK122 Cell_105 DNMT3A 1
MSK122 Cell_106 DNMT3A 1
MSK122 Cell_107 DNMT3A 1
MSK122 Cell_108 DNMT3A 0
MSK122 Cell_109 DNMT3A 1
MSK122 Cell_110 DNMT3A 1
MSK122 Cell_111 DNMT3A 1
MSK122 Cell_112 DNMT3A 0
MSK122 Cell_113 DNMT3A 1
MSK122 Cell_114 DNMT3A 0
MSK122 Cell_115 DNMT3A 0
MSK122 Cell_116 DNMT3A 1
MSK122 Cell_117 DNMT3A 1
MSK122 Cell_118 DNMT3A 1
MSK122 Cell_119 DNMT3A 1
MSK122 Cell_120 DNMT3A 1
MSK122 Cell_121 DNMT3A 1
MSK122 Cell_122 DNMT3A 0
MSK122 Cell_123 DNMT3A 0
MSK122 Cell_124 DNMT3A 0
MSK122 Cell_125 DNMT3A 1
MSK122 Cell_126 DNMT3A 1
MSK122 Cell_127 DNMT3A 1
MSK122 Cell_128 DNMT3A 1
MSK122 Cell_129 DNMT3A 1
MSK122 Cell_130 DNMT3A 1
MSK122 Cell_131 DNMT3A 1
MSK122 Cell_132 DNMT3A 1
MSK122 Cell_133 DNMT3A 1
MSK122 Cell_134 DNMT3A 1
MSK122 Cell_135 DNMT3A 1
MSK122 Cell_136 DNMT3A 1
MSK122 Cell_137 DNMT3A 1
MSK122 Cell_138 DNMT3A 1
MSK122 Cell_139 DNMT3A 0
MSK122 Cell_140 DNMT3A 0
MSK122 Cell_141 DNMT3A 1
MSK122 Cell_142 DNMT3A 0
MSK122 Cell_143 DNMT3A 1
MSK122 Cell_144 DNMT3A 1
MSK122 Cell_145 DNMT3A 1
MSK122 Cell_146 DNMT3A 1
MSK122 Cell_147 DNMT3A 1
MSK122 Cell_148 DNMT3A 0
MSK122 Cell_149 DNMT3A 1
MSK122 Cell_150 DNMT3A 1
MSK122 Cell_151 DNMT3A 1
MSK122 Cell_152 DNMT3A 0
MSK122 Cell_153 DNMT3A 0
MSK122 Cell_154 DNMT3A 0
MSK122 Cell_155 DNMT3A 1
MSK122 Cell_156 DNMT3A 0
MSK122 Cell_157 DNMT3A 0
