SAMPLE	REGION	GENE	CCF
CRUK0001	R1	ARHGAP35	0.02
CRUK0001	R1	KMT2B	0.82
CRUK0001	R1	MGA	0.7
CRUK0001	R1	MGA	1
CRUK0001	R1	PASK	0.5
CRUK0001	R1	PASK	0.79
CRUK0001	R1	TP53	1
CRUK0001	R1	WRN	0.14
CRUK0001	R2	ARHGAP35	0.02
CRUK0001	R2	KMT2B	0.32
CRUK0001	R2	MGA	0.02
CRUK0001	R2	MGA	0.63
CRUK0001	R2	PASK	0.02
CRUK0001	R2	PASK	0.02
CRUK0001	R2	TP53	1
CRUK0001	R2	WRN	1
CRUK0001	R3	ARHGAP35	1
CRUK0001	R3	KMT2B	0.02
CRUK0001	R3	MGA	0.02
CRUK0001	R3	MGA	1
CRUK0001	R3	PASK	0.02
CRUK0001	R3	PASK	0.02
CRUK0001	R3	TP53	1
CRUK0001	R3	WRN	1
CRUK0003	R1	CTNNB1	0.02
CRUK0003	R1	CTNNB1	0.02
CRUK0003	R1	EGFR	1
CRUK0003	R1	PIK3CA	1
CRUK0003	R2	CTNNB1	0.02
CRUK0003	R2	CTNNB1	0.02
CRUK0003	R2	EGFR	1
CRUK0003	R2	PIK3CA	1
CRUK0003	R3	CTNNB1	0.43
CRUK0003	R3	CTNNB1	0.61
CRUK0003	R3	EGFR	0.94
CRUK0003	R3	PIK3CA	1
CRUK0003	R4	CTNNB1	0.02
CRUK0003	R4	CTNNB1	0.02
CRUK0003	R4	EGFR	1
CRUK0003	R4	PIK3CA	1
CRUK0003	R5	CTNNB1	0.02
CRUK0003	R5	CTNNB1	0.02
CRUK0003	R5	EGFR	0.02
CRUK0003	R5	PIK3CA	0.02
CRUK0003	R6	CTNNB1	0.02
CRUK0003	R6	CTNNB1	0.02
CRUK0003	R6	EGFR	0.96
CRUK0003	R6	PIK3CA	1
CRUK0004	R1	EGFR	1
CRUK0004	R1	NOTCH1	0.02
CRUK0004	R1	SMAD4	0.02
CRUK0004	R1	TP53	0.85
CRUK0004	R2	EGFR	1
CRUK0004	R2	NOTCH1	0.02
CRUK0004	R2	SMAD4	0.02
CRUK0004	R2	TP53	1
CRUK0004	R3	EGFR	0.98
CRUK0004	R3	NOTCH1	0.98
CRUK0004	R3	SMAD4	1
CRUK0004	R3	TP53	1
CRUK0004	R4	EGFR	1
CRUK0004	R4	NOTCH1	0.02
CRUK0004	R4	SMAD4	0.02
CRUK0004	R4	TP53	1
CRUK0005	R1	ATRX	0.02
CRUK0005	R1	BRAF	0.96
CRUK0005	R1	CMTR2	1
CRUK0005	R1	MBD1	0.02
CRUK0005	R1	NRAS	0.02
CRUK0005	R1	PASK	0.52
CRUK0005	R1	TP53	1
CRUK0005	R2	ATRX	0.02
CRUK0005	R2	BRAF	1
CRUK0005	R2	CMTR2	0.99
CRUK0005	R2	MBD1	0.02
CRUK0005	R2	NRAS	0.02
CRUK0005	R2	PASK	0.83
CRUK0005	R2	TP53	0.87
CRUK0005	R3	ATRX	0.02
CRUK0005	R3	BRAF	1
CRUK0005	R3	CMTR2	1
CRUK0005	R3	MBD1	0.52
CRUK0005	R3	NRAS	0.56
CRUK0005	R3	PASK	0.41
CRUK0005	R3	TP53	0.99
CRUK0005	R4	ATRX	0.02
CRUK0005	R4	BRAF	1
CRUK0005	R4	CMTR2	1
CRUK0005	R4	MBD1	0.02
CRUK0005	R4	NRAS	0.02
CRUK0005	R4	PASK	1
CRUK0005	R4	TP53	1
CRUK0006	R1	KDM5C	0.02
CRUK0006	R1	KEAP1	1
CRUK0006	R1	MAP3K1	0.02
CRUK0006	R1	PLCG2	0.77
CRUK0006	R1	PLXNB2	1
CRUK0006	R1	PLXNB2	1
CRUK0006	R1	PLXNB2	1
CRUK0006	R1	TP53	1
CRUK0006	R2	KDM5C	0.02
CRUK0006	R2	KEAP1	1
CRUK0006	R2	MAP3K1	1
CRUK0006	R2	PLCG2	0.83
CRUK0006	R2	PLXNB2	1
CRUK0006	R2	PLXNB2	1
CRUK0006	R2	PLXNB2	1
CRUK0006	R2	TP53	0.86
CRUK0011	R1	CTCF	0.02
CRUK0011	R1	FLT4	1
CRUK0011	R1	KRAS	1
CRUK0011	R1	NBN	1
CRUK0011	R1	NBN	1
CRUK0011	R2	CTCF	0.18
CRUK0011	R2	FLT4	0.02
CRUK0011	R2	KRAS	1
CRUK0011	R2	NBN	1
CRUK0011	R2	NBN	1
CRUK0011	R3	CTCF	0.02
CRUK0011	R3	FLT4	0.02
CRUK0011	R3	KRAS	0.92
CRUK0011	R3	NBN	0.78
CRUK0011	R3	NBN	0.93
CRUK0012	R1	EGFR	0.9
CRUK0012	R1	EGFR	0.91
CRUK0012	R1	HNF1A	0.14
CRUK0012	R2	EGFR	1
CRUK0012	R2	EGFR	1
CRUK0012	R2	HNF1A	0.02
CRUK0013	LN1	NOTCH1	0.02
CRUK0013	LN1	STK11	0.98
CRUK0013	LN2	NOTCH1	0.02
CRUK0013	LN2	STK11	0.9
CRUK0013	R1	NOTCH1	0.02
CRUK0013	R1	STK11	1
CRUK0013	R2	NOTCH1	0.52
CRUK0013	R2	STK11	0.97
CRUK0013	R3	NOTCH1	0.02
CRUK0013	R3	STK11	0.92
CRUK0014	R1	KRAS	0.97
CRUK0014	R1	RNF43	0.14
CRUK0014	R1	TP53	1
CRUK0014	R2	KRAS	0.65
CRUK0014	R2	RNF43	0.02
CRUK0014	R2	TP53	0.84
CRUK0015	R1	BAP1	1
CRUK0015	R1	EGFR	1
CRUK0015	R1	RB1	0.02
CRUK0015	R1	TP53	0.54
CRUK0015	R2	BAP1	0.96
CRUK0015	R2	EGFR	1
CRUK0015	R2	RB1	0.23
CRUK0015	R2	TP53	0.02
CRUK0016	R1	ARID1B	0.46
CRUK0016	R1	ASXL1	0.32
CRUK0016	R1	ASXL1	0.35
CRUK0016	R1	BCOR	0.02
CRUK0016	R1	CBLB	1
CRUK0016	R1	CHD8	0.19
CRUK0016	R1	DNM2	0.28
CRUK0016	R1	DNM2	0.76
CRUK0016	R1	FAT1	0.17
CRUK0016	R1	FAT1	1
CRUK0016	R1	LATS1	0.59
CRUK0016	R1	LATS1	0.64
CRUK0016	R1	PTPRC	0.26
CRUK0016	R1	PTPRC	0.46
CRUK0016	R1	SPEN	0.91
CRUK0016	R1	SPEN	1
CRUK0016	R1	TP53	1
CRUK0016	R2	ARID1B	0.02
CRUK0016	R2	ASXL1	0.02
CRUK0016	R2	ASXL1	0.24
CRUK0016	R2	BCOR	0.02
CRUK0016	R2	CBLB	1
CRUK0016	R2	CHD8	0.1
CRUK0016	R2	DNM2	0.16
CRUK0016	R2	DNM2	0.32
CRUK0016	R2	FAT1	0.02
CRUK0016	R2	FAT1	1
CRUK0016	R2	LATS1	0.02
CRUK0016	R2	LATS1	0.02
CRUK0016	R2	PTPRC	0.25
CRUK0016	R2	PTPRC	0.47
CRUK0016	R2	SPEN	0.95
CRUK0016	R2	SPEN	0.98
CRUK0016	R2	TP53	0.93
CRUK0017	R1	ARID1B	0.97
CRUK0017	R1	ARID2	1
CRUK0017	R1	DICER1	0.02
CRUK0017	R1	EXT2	1
CRUK0017	R1	KEAP1	0.98
CRUK0017	R1	KRAS	0.02
CRUK0017	R1	TP53	1
CRUK0017	R2	ARID1B	0.98
CRUK0017	R2	ARID2	0.96
CRUK0017	R2	DICER1	0.02
CRUK0017	R2	EXT2	1
CRUK0017	R2	KEAP1	0.99
CRUK0017	R2	KRAS	0.85
CRUK0017	R2	TP53	1
CRUK0017	R3	ARID1B	0.94
CRUK0017	R3	ARID2	1
CRUK0017	R3	DICER1	0.14
CRUK0017	R3	EXT2	0.94
CRUK0017	R3	KEAP1	1
CRUK0017	R3	KRAS	1
CRUK0017	R3	TP53	1
CRUK0017	R4	ARID1B	1
CRUK0017	R4	ARID2	0.9
CRUK0017	R4	DICER1	0.49
CRUK0017	R4	EXT2	0.87
CRUK0017	R4	KEAP1	1
CRUK0017	R4	KRAS	0.74
CRUK0017	R4	TP53	1
CRUK0018	R1	CMTR2	1
CRUK0018	R1	COL5A2	0.93
CRUK0018	R1	DNMT3A	1
CRUK0018	R1	KRAS	1
CRUK0018	R1	MGA	0.96
CRUK0018	R1	MGA	1
CRUK0018	R1	WAS	0.02
CRUK0018	R2	CMTR2	0.98
CRUK0018	R2	COL5A2	1
CRUK0018	R2	DNMT3A	0.02
CRUK0018	R2	KRAS	0.95
